title,date,category,info,link
UK registers record daily Covid death toll - RTHK,2021-01-14 HKT 00:42,World News,"The United Kingdom on Wednesday reported 1,564 new deaths within 28 days of a positive test from Covid-19, a record daily toll, with the number of cas...",news.rthk.hk/rthk/en/component/k2/1570278-20210114.htm?archive_date=2021-01-14
"Foden fires City to third, Fulham silence Spurs - RTHK",2021-01-14 HKT 08:39,Sport,Phil Foden fired Manchester City into third place in the Premier League on Wednesday as Pep Guardiola's men saw off a feisty challenge from Brighton t...,news.rthk.hk/rthk/en/component/k2/1570315-20210114.htm?archive_date=2021-01-14
Mainland sees largest Covid jump in over 10 months - RTHK,2021-01-14 HKT 09:18,Greater China,"China reported its biggest daily jump in new Covid-19 cases in more than 10 months as infections in northeastern Heilongjiang province nearly tripled,...",news.rthk.hk/rthk/en/component/k2/1570324-20210114.htm?archive_date=2021-01-14
WHO team arrives in Wuhan to begin Covid probe - RTHK,2021-01-14 HKT 09:30,Greater China,An international team of scientists led by the World Health Organisation arrived on Thursday in China's central city of Wuhan to investigate the origi...,news.rthk.hk/rthk/en/component/k2/1570333-20210114.htm?archive_date=2021-01-14
'China's Sinovac jabs not good enough for elderly' - RTHK,2021-01-14 HKT 11:18,Local,"virus cases were confirmed, all locally acquired. ... 
they say is the government's inadequate response to the ",news.rthk.hk/rthk/en/component/k2/1570350-20210114.htm?archive_date=2021-01-14
'HK's vaccine rollout might get off to a slow start' - RTHK,2021-01-14 HKT 13:01,Local,"A health expert on Thursday warned that Hong Kong's Covid vaccine rollout next month might be slowed down, if jabs produced by mainland company Sinova...",news.rthk.hk/rthk/en/component/k2/1570376-20210114.htm?archive_date=2021-01-14
Residents left bewildered by sudden quarantine move - RTHK,2021-01-14 HKT 16:09,Local,"On Thursday’s Backchat, US politics, and vaccines.  The US Vice-president Mike Pence on Tuesday has made clear that he doesn’t support using the 25th amendment to remove Donald Trump from office for inciting last week’s attacks on the US Capitol. But there is still the impeachment option and Pelosi is moving ahead with that, with the support of some Republicans, and even perhaps Mitch McConnell, the Senate Majority Leader. What do you make of developments? Would you support impeachment?  From 9:15amp-9:30am, we’ll be discussing vaccines. Why are there confusing accounts of the efficacy of Chinese vaccines in particular? What do we actually know about how they compare to other vaccines?  Let us know your thoughts, you can leave a message on our Facebook, Backchat on RTHK Radio 3, email us at backchat@rthk.hk or give us a call on 23388266. 8:30-9:15am US politics 8:30-9:00 Phone: Nicholas Gordon. Chair, Democrats Abroad Hong Kong 8:30-9:15 BH : Dan Van Hoy, a 20-year resident of Hong Kong, teacher, businessman and member of Republicans Overseas 8:30-9:15 Francis Moriarty, US journalist and former RTHK correspondent 9:15-9:30 Vaccines Dr Arisina Ma, president of Hong Kong Public Doctors' Association",news.rthk.hk/rthk/en/component/k2/1570397-20210114.htm?archive_date=2021-01-14
Bunkering industry seeks relief to stay afloat - RTHK,2021-01-14 HKT 16:43,Local,The bunkering industry has called on the government to relax quarantine measures for incoming vessels and offer a HK$32 million lifeline for the secto...,news.rthk.hk/rthk/en/component/k2/1570394-20210114.htm?archive_date=2021-01-14
Covid cases hit block not far from Jordan tenement - RTHK,2021-01-14 HKT 17:56,Local,"Concerns are growing about a Covid-19 outbreak in Jordan as a cluster of infections in an old tenement building there expands, while new cases are rep...",news.rthk.hk/rthk/en/component/k2/1570430-20210114.htm?archive_date=2021-01-14
Murray a doubt for Aussie Open after positive test - RTHK,2021-01-14 HKT 22:14,Sport,A pharmacists' group on Thursday urged the government not to let elderly people in Hong Kong receive coronavirus vaccines developed by mainland compan...,news.rthk.hk/rthk/en/component/k2/1570477-20210114.htm?archive_date=2021-01-14
